cell,variant,embedder,traj_id,step_idx,n_steps,actor,d_a_sem,d_a_lex,d_a_gated,d_oA,d_oA_calibrated,d_oU,user_is_tool_turn,label_fail
qwen32B-int4_airline_50runs,baseline,bge-m3,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,0,18,agent,,,,,,,0,1
qwen32B-int4_airline_50runs,baseline,bge-m3,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,1,18,user,,,,,,0.5193493664264679,0,1
qwen32B-int4_airline_50runs,baseline,bge-m3,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,2,18,agent,0.4781242311000824,0.08163265306122448,0.0,,,,0,1
qwen32B-int4_airline_50runs,baseline,bge-m3,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,3,18,user,,,,,,0.19921064376831055,0,1
qwen32B-int4_airline_50runs,baseline,bge-m3,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,4,18,agent,0.49159717559814453,0.017857142857142856,0.0,0.3688182830810547,-0.12684158484141034,,0,1
qwen32B-int4_airline_50runs,baseline,bge-m3,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,5,18,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,baseline,bge-m3,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,6,18,agent,0.7643243074417114,0.3384615384615385,0.0,0.49605393409729004,-0.008353382349014282,,0,1
qwen32B-int4_airline_50runs,baseline,bge-m3,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,7,18,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,baseline,bge-m3,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,8,18,agent,0.6445395350456238,0.22105263157894736,0.0,,,,0,1
qwen32B-int4_airline_50runs,baseline,bge-m3,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,9,18,user,,,,,,0.19780391454696655,0,1
qwen32B-int4_airline_50runs,baseline,bge-m3,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,10,18,agent,0.5849314332008362,0.01818181818181818,0.0,0.4887704849243164,0.015377332766850771,,0,1
qwen32B-int4_airline_50runs,baseline,bge-m3,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,11,18,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,baseline,bge-m3,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,12,18,agent,0.666755199432373,0.3142857142857143,0.0,,,,0,1
qwen32B-int4_airline_50runs,baseline,bge-m3,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,13,18,user,,,,,,0.34245288372039795,0,1
qwen32B-int4_airline_50runs,baseline,bge-m3,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,14,18,agent,0.6785483956336975,0.3333333333333333,0.0,0.25531625747680664,-0.23589642842610675,,0,1
qwen32B-int4_airline_50runs,baseline,bge-m3,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,15,18,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,baseline,bge-m3,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,16,18,agent,0.7060878872871399,0.21212121212121213,0.0,,,,0,1
