cell,variant,embedder,traj_id,step_idx,n_steps,actor,d_a_sem,d_a_lex,d_a_gated,d_oA,d_oA_calibrated,d_oU,user_is_tool_turn,label_fail
qwen32B-int4_airline_50runs,baseline,Qwen3-Embedding-0.6B,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,0,18,agent,,,,,,,0,1
qwen32B-int4_airline_50runs,baseline,Qwen3-Embedding-0.6B,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,1,18,user,,,,,,0.49866610765457153,0,1
qwen32B-int4_airline_50runs,baseline,Qwen3-Embedding-0.6B,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,2,18,agent,0.3441413640975952,0.08163265306122448,0.0,,,,0,1
qwen32B-int4_airline_50runs,baseline,Qwen3-Embedding-0.6B,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,3,18,user,,,,,,0.22533875703811646,0,1
qwen32B-int4_airline_50runs,baseline,Qwen3-Embedding-0.6B,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,4,18,agent,0.43842804431915283,0.017857142857142856,0.0,0.48087048530578613,-0.07344423731168115,,0,1
qwen32B-int4_airline_50runs,baseline,Qwen3-Embedding-0.6B,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,5,18,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,baseline,Qwen3-Embedding-0.6B,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,6,18,agent,0.7474737763404846,0.3384615384615385,0.0,0.4589799642562866,-0.11516676346460974,,0,1
qwen32B-int4_airline_50runs,baseline,Qwen3-Embedding-0.6B,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,7,18,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,baseline,Qwen3-Embedding-0.6B,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,8,18,agent,0.6419983506202698,0.22105263157894736,0.0,,,,0,1
qwen32B-int4_airline_50runs,baseline,Qwen3-Embedding-0.6B,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,9,18,user,,,,,,0.20395010709762573,0,1
qwen32B-int4_airline_50runs,baseline,Qwen3-Embedding-0.6B,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,10,18,agent,0.5359455943107605,0.01818181818181818,0.0,0.5195124745368958,-0.035413970549901364,,0,1
qwen32B-int4_airline_50runs,baseline,Qwen3-Embedding-0.6B,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,11,18,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,baseline,Qwen3-Embedding-0.6B,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,12,18,agent,0.6930692195892334,0.3142857142857143,0.0,,,,0,1
qwen32B-int4_airline_50runs,baseline,Qwen3-Embedding-0.6B,995d305a-e3d4-4df6-b4c0-9e28ed0c0653,13,18,user,,,,,,0.42286592721939087,0,1
