cell,variant,embedder,traj_id,step_idx,n_steps,actor,d_a_sem,d_a_lex,d_a_gated,d_oA,d_oA_calibrated,d_oU,user_is_tool_turn,label_fail
qwen32B-int4_retail_50runs,verbalized,bge-m3,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,0,32,agent,,,,,,,0,1
qwen32B-int4_retail_50runs,verbalized,bge-m3,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,1,32,user,,,,,,0.43044811487197876,0,1
qwen32B-int4_retail_50runs,verbalized,bge-m3,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,2,32,agent,0.4558683931827545,0.0,0.0,0.5474553108215332,0.07062522239155239,,0,1
qwen32B-int4_retail_50runs,verbalized,bge-m3,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,3,32,tool,,,,,,,0,1
qwen32B-int4_retail_50runs,verbalized,bge-m3,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,4,32,agent,0.6925533413887024,0.4117647058823529,0.0,0.46240925788879395,-0.007618937227461098,,0,1
qwen32B-int4_retail_50runs,verbalized,bge-m3,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,5,32,tool,,,,,,,0,1
qwen32B-int4_retail_50runs,verbalized,bge-m3,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,6,32,agent,0.9025448560714722,0.5384615384615384,0.0,0.42200636863708496,-0.04694179362720913,,0,1
qwen32B-int4_retail_50runs,verbalized,bge-m3,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,7,32,tool,,,,,,,0,1
qwen32B-int4_retail_50runs,verbalized,bge-m3,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,8,32,agent,0.5038343667984009,0.014084507042253521,0.0,,,,0,1
qwen32B-int4_retail_50runs,verbalized,bge-m3,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,9,32,user,,,,,,0.2847530245780945,0,1
qwen32B-int4_retail_50runs,verbalized,bge-m3,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,10,32,agent,0.843063473701477,0.4666666666666667,0.0,0.32464855909347534,-0.15069039662679035,,0,1
qwen32B-int4_retail_50runs,verbalized,bge-m3,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,11,32,tool,,,,,,,0,1
