cell,variant,embedder,traj_id,step_idx,n_steps,actor,d_a_sem,d_a_lex,d_a_gated,d_oA,d_oA_calibrated,d_oU,user_is_tool_turn,label_fail
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,0,32,agent,,,,,,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,1,32,user,,,,,,0.5019811689853668,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,2,32,agent,0.33653634786605835,0.0,0.0,0.4836653470993042,-0.09611790378888452,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,3,32,tool,,,,,,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,4,32,agent,0.4064547121524811,0.4117647058823529,0.0,0.4212227463722229,-0.17793394128481543,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,5,32,tool,,,,,,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,6,32,agent,0.589788019657135,0.5384615384615384,0.0,0.4748656749725342,-0.0730578336450789,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,7,32,tool,,,,,,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,8,32,agent,0.408195823431015,0.014084507042253521,0.0,,,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,9,32,user,,,,,,0.3177884817123413,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,10,32,agent,0.6419014930725098,0.4666666666666667,0.0,0.5213368535041809,-0.0977868139743805,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,11,32,tool,,,,,,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,12,32,agent,0.6032068729400635,0.22,0.0,,,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,13,32,user,,,,,,0.34363776445388794,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,14,32,agent,0.6140340566635132,0.4666666666666667,0.0,0.5597355365753174,-0.004846556319130779,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,15,32,tool,,,,,,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,16,32,agent,0.7267603874206543,0.2247191011235955,0.0,,,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,17,32,user,,,,,,0.25892478227615356,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,18,32,agent,0.9890375137329102,0.6923076923076923,0.0,0.560810923576355,-0.007112781206766727,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,19,32,tool,,,,,,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,20,32,agent,0.9929483532905579,0.6923076923076923,0.0,0.5539523661136627,-0.015117814143498776,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,21,32,tool,,,,,,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,22,32,agent,0.9897638559341431,0.6923076923076923,0.0,0.5854081213474274,0.023595809936523438,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,23,32,tool,,,,,,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,24,32,agent,0.9931337237358093,0.6923076923076923,0.0,0.6123592555522919,0.040626244412528156,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,25,32,tool,,,,,,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,26,32,agent,0.44200387597084045,0.015384615384615385,0.0,,,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,27,32,user,,,,,,0.20918947458267212,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,28,32,agent,0.6898824572563171,0.47368421052631576,0.0,0.5106395483016968,-0.0008955134285820732,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,29,32,tool,,,,,,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,30,32,agent,0.7983275055885315,0.29411764705882354,0.0,,,,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,003ba2fb-a4e2-460f-b7f9-95ceaa965b9b,31,32,user,,,,,,0.3890042304992676,0,1
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,f6dcd166-a800-4fff-9aec-3731f7739cea,0,26,agent,,,,,,,0,0
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,f6dcd166-a800-4fff-9aec-3731f7739cea,1,26,user,,,,,,0.5372788906097412,0,0
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,f6dcd166-a800-4fff-9aec-3731f7739cea,2,26,agent,0.3467041552066803,0.0,0.0,0.4883798360824585,-0.11523740291595463,,0,0
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,f6dcd166-a800-4fff-9aec-3731f7739cea,3,26,tool,,,,,,,0,0
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,f6dcd166-a800-4fff-9aec-3731f7739cea,4,26,agent,0.6658298969268799,0.09090909090909091,0.0,,,,0,0
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,f6dcd166-a800-4fff-9aec-3731f7739cea,5,26,user,,,,,,0.27121084928512573,0,0
qwen32B-int4_retail_50runs,baseline,Qwen3-Embedding-0.6B,f6dcd166-a800-4fff-9aec-3731f7739cea,6,26,agent,0.9984960556030273,0.8125,0.0,0.4761207103729248,-0.13427581787109377,,0,0
