cell,variant,embedder,traj_id,step_idx,n_steps,actor,d_a_sem,d_a_lex,d_a_gated,d_oA,d_oA_calibrated,d_oU,user_is_tool_turn,label_fail
qwen32B-int4_telecom_50runs,baseline,bge-m3,3754b5ae-add7-441c-af2a-ad5ba926920c,0,17,agent,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,3754b5ae-add7-441c-af2a-ad5ba926920c,1,17,user,,,,,,0.4389774799346924,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,3754b5ae-add7-441c-af2a-ad5ba926920c,2,17,agent,0.5266148447990417,0.06153846153846154,0.0,0.40792709589004517,0.0554279088973999,,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,3754b5ae-add7-441c-af2a-ad5ba926920c,3,17,user,,,,,,0.37270963191986084,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,3754b5ae-add7-441c-af2a-ad5ba926920c,4,17,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,3754b5ae-add7-441c-af2a-ad5ba926920c,5,17,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,3754b5ae-add7-441c-af2a-ad5ba926920c,6,17,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,3754b5ae-add7-441c-af2a-ad5ba926920c,7,17,user,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,3754b5ae-add7-441c-af2a-ad5ba926920c,8,17,agent,,,,0.4679793119430542,0.03497135639190674,,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,3754b5ae-add7-441c-af2a-ad5ba926920c,9,17,user,,,,,,0.3173927664756775,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,3754b5ae-add7-441c-af2a-ad5ba926920c,10,17,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,3754b5ae-add7-441c-af2a-ad5ba926920c,11,17,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,3754b5ae-add7-441c-af2a-ad5ba926920c,12,17,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,3754b5ae-add7-441c-af2a-ad5ba926920c,13,17,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,3754b5ae-add7-441c-af2a-ad5ba926920c,14,17,user,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,3754b5ae-add7-441c-af2a-ad5ba926920c,15,17,agent,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,3754b5ae-add7-441c-af2a-ad5ba926920c,16,17,user,,,,,,0.5651473999023438,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,0,26,agent,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,1,26,user,,,,,,0.46183037757873535,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,2,26,agent,0.4827752113342285,0.0,0.0,0.34353935718536377,-0.19788046479225163,,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,3,26,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,4,26,agent,0.5560819506645203,0.09375,0.0,,,,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,5,26,user,,,,,,0.4240296483039856,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,6,26,agent,0.8213000893592834,0.3684210526315789,0.0,0.5615017414093018,0.04551219344139101,,0,0
qwen32B-int4_telecom_50runs,baseline,bge-m3,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,7,26,tool,,,,,,,0,0
