cell,variant,embedder,traj_id,step_idx,n_steps,actor,d_a_sem,d_a_lex,d_a_gated,d_oA,d_oA_calibrated,d_oU,user_is_tool_turn,label_fail
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,3754b5ae-add7-441c-af2a-ad5ba926920c,0,17,agent,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,3754b5ae-add7-441c-af2a-ad5ba926920c,1,17,user,,,,,,0.592764288187027,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,3754b5ae-add7-441c-af2a-ad5ba926920c,2,17,agent,0.29979878664016724,0.06153846153846154,0.0,0.41436028480529785,-0.04454225301742554,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,3754b5ae-add7-441c-af2a-ad5ba926920c,3,17,user,,,,,,0.3093608021736145,1,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,3754b5ae-add7-441c-af2a-ad5ba926920c,4,17,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,3754b5ae-add7-441c-af2a-ad5ba926920c,5,17,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,3754b5ae-add7-441c-af2a-ad5ba926920c,6,17,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,3754b5ae-add7-441c-af2a-ad5ba926920c,7,17,user,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,3754b5ae-add7-441c-af2a-ad5ba926920c,8,17,agent,,,,0.44376087188720703,0.004581272602081299,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,3754b5ae-add7-441c-af2a-ad5ba926920c,9,17,user,,,,,,0.32520002126693726,1,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,3754b5ae-add7-441c-af2a-ad5ba926920c,10,17,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,3754b5ae-add7-441c-af2a-ad5ba926920c,11,17,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,3754b5ae-add7-441c-af2a-ad5ba926920c,12,17,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,3754b5ae-add7-441c-af2a-ad5ba926920c,13,17,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,3754b5ae-add7-441c-af2a-ad5ba926920c,14,17,user,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,3754b5ae-add7-441c-af2a-ad5ba926920c,15,17,agent,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,3754b5ae-add7-441c-af2a-ad5ba926920c,16,17,user,,,,,,0.6418576240539551,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,0,26,agent,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,1,26,user,,,,,,0.561271458864212,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,2,26,agent,0.40968599915504456,0.0,0.0,0.19327205419540405,-0.4115924298763275,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,3,26,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,4,26,agent,0.5480191111564636,0.09375,0.0,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,5,26,user,,,,,,0.38593125343322754,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,6,26,agent,0.7491462230682373,0.3684210526315789,0.0,0.6045161485671997,0.017050170898437522,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,7,26,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,8,26,agent,0.5421618223190308,0.2,0.0,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,9,26,user,,,,,,0.5108948051929474,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,10,26,agent,0.7556584477424622,0.3333333333333333,0.0,0.45349347591400146,-0.10232780575752254,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,11,26,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,12,26,agent,0.5162364840507507,0.21951219512195122,0.0,0.5054351091384888,-0.048967278003692605,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,13,26,user,,,,,,0.446861207485199,1,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,14,26,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,15,26,user,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,16,26,agent,0.6275143027305603,0.2345679012345679,0.0,0.31847530603408813,-0.34511804580688477,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,17,26,user,,,,,,0.3903179168701172,1,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,18,26,tool,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,19,26,user,,,,,,,0,0
qwen32B-int4_telecom_50runs,baseline,Qwen3-Embedding-0.6B,e75caaf1-f9ee-4f27-81d6-9c73a4adec3d,20,26,agent,0.4017738699913025,0.22535211267605634,0.0,0.27798759937286377,-0.27351923584938054,,0,0
