cell,traj_id,step_idx,U,da,label_fail
qwen14B-int4_airline_50runs,dc10830e-7e6f-4846-a47d-259ba0c783ef,0,,,0
qwen14B-int4_airline_50runs,dc10830e-7e6f-4846-a47d-259ba0c783ef,2,0.21335745143515755,0.0,0
qwen14B-int4_airline_50runs,dc10830e-7e6f-4846-a47d-259ba0c783ef,4,0.45610728848946336,0.04267017627030276,0
qwen14B-int4_airline_50runs,dc10830e-7e6f-4846-a47d-259ba0c783ef,6,0.3526353526213871,0.15352888964116573,0
qwen14B-int4_airline_50runs,dc10830e-7e6f-4846-a47d-259ba0c783ef,9,0.00810362368098719,0.006052809365001725,0
qwen14B-int4_airline_50runs,1df79703-9ab4-48b6-a163-70f6e331c42a,0,,,1
qwen14B-int4_airline_50runs,1df79703-9ab4-48b6-a163-70f6e331c42a,2,0.0011064119975753783,0.0,1
qwen14B-int4_airline_50runs,1df79703-9ab4-48b6-a163-70f6e331c42a,4,0.2693919114291882,0.0,1
qwen14B-int4_airline_50runs,1df79703-9ab4-48b6-a163-70f6e331c42a,6,0.0009473646387869887,0.11733534336090089,1
qwen14B-int4_airline_50runs,1df79703-9ab4-48b6-a163-70f6e331c42a,8,0.23429438515858303,0.33694708347320557,1
qwen14B-int4_airline_50runs,1df79703-9ab4-48b6-a163-70f6e331c42a,10,0.28350562927765544,0.03414522569913131,1
qwen14B-int4_airline_50runs,1df79703-9ab4-48b6-a163-70f6e331c42a,12,0.0010658863780158275,0.017967127050672257,1
qwen14B-int4_airline_50runs,01069cd4-e93f-4e9f-88cf-f85630f1ffa2,0,,,0
qwen14B-int4_airline_50runs,01069cd4-e93f-4e9f-88cf-f85630f1ffa2,2,0.24076258515444846,0.0,0
qwen14B-int4_airline_50runs,01069cd4-e93f-4e9f-88cf-f85630f1ffa2,4,0.2244517606075154,0.11888314969837666,0
qwen14B-int4_airline_50runs,01069cd4-e93f-4e9f-88cf-f85630f1ffa2,6,0.42698159400662355,0.1302608020451604,0
qwen14B-int4_airline_50runs,01069cd4-e93f-4e9f-88cf-f85630f1ffa2,8,0.36551844837690045,0.1146687956319915,0
qwen14B-int4_airline_50runs,01069cd4-e93f-4e9f-88cf-f85630f1ffa2,10,0.2034954840095226,0.22785355063045726,0
qwen14B-int4_airline_50runs,01069cd4-e93f-4e9f-88cf-f85630f1ffa2,12,0.07380114898927859,0.6727426257626764,0
qwen14B-int4_airline_50runs,01069cd4-e93f-4e9f-88cf-f85630f1ffa2,14,0.3060100860472341,0.09723421505519322,0
qwen14B-int4_airline_50runs,01069cd4-e93f-4e9f-88cf-f85630f1ffa2,16,0.26913470532601974,1.0,0
qwen14B-int4_airline_50runs,01069cd4-e93f-4e9f-88cf-f85630f1ffa2,18,0.4234233794652132,0.17231963142271964,0
qwen14B-int4_airline_50runs,01069cd4-e93f-4e9f-88cf-f85630f1ffa2,20,0.25340310723587417,1.0,0
qwen14B-int4_airline_50runs,01069cd4-e93f-4e9f-88cf-f85630f1ffa2,22,0.2706530429213175,0.3219016075134277,0
qwen14B-int4_airline_50runs,8ead6518-9f12-4246-8bf2-68309cec8a7d,0,,,0
qwen14B-int4_airline_50runs,8ead6518-9f12-4246-8bf2-68309cec8a7d,2,0.310854941634354,0.0,0
qwen14B-int4_airline_50runs,8ead6518-9f12-4246-8bf2-68309cec8a7d,4,0.5963226100752602,0.0749689280986786,0
qwen14B-int4_airline_50runs,8ead6518-9f12-4246-8bf2-68309cec8a7d,6,0.1487207597418887,0.061842670627668794,0
qwen14B-int4_airline_50runs,8ead6518-9f12-4246-8bf2-68309cec8a7d,8,0.005233992287731394,0.0,0
qwen14B-int4_airline_50runs,1cc77d2a-b7b7-4903-bc4b-a4ecde660f1b,0,,,1
qwen14B-int4_airline_50runs,1cc77d2a-b7b7-4903-bc4b-a4ecde660f1b,2,0.25016262016288354,0.0,1
qwen14B-int4_airline_50runs,1cc77d2a-b7b7-4903-bc4b-a4ecde660f1b,4,0.29092327447537036,0.061503847440083824,1
qwen14B-int4_airline_50runs,1cc77d2a-b7b7-4903-bc4b-a4ecde660f1b,6,0.0010144792601957146,0.0,1
qwen14B-int4_airline_50runs,1cc77d2a-b7b7-4903-bc4b-a4ecde660f1b,8,0.3244753060627272,0.1399267043756402,1
qwen14B-int4_airline_50runs,1cc77d2a-b7b7-4903-bc4b-a4ecde660f1b,10,0.00020083105740923202,0.11927070617675782,1
qwen14B-int4_airline_50runs,1cc77d2a-b7b7-4903-bc4b-a4ecde660f1b,12,0.3106132234944812,0.19515456072986126,1
qwen14B-int4_airline_50runs,1cc77d2a-b7b7-4903-bc4b-a4ecde660f1b,14,0.29535416527532987,0.2753595404508637,1
qwen14B-int4_airline_50runs,1cc77d2a-b7b7-4903-bc4b-a4ecde660f1b,16,0.005287210533752056,0.08917562166849771,1
qwen14B-int4_airline_50runs,1cc77d2a-b7b7-4903-bc4b-a4ecde660f1b,18,0.011200881818619493,0.5629541516304016,1
qwen14B-int4_airline_50runs,1cc77d2a-b7b7-4903-bc4b-a4ecde660f1b,20,0.06832338190181625,0.5718095541000366,1
qwen14B-int4_airline_50runs,1cc77d2a-b7b7-4903-bc4b-a4ecde660f1b,22,0.008255146620185817,0.5575334429740906,1
qwen14B-int4_airline_50runs,1cc77d2a-b7b7-4903-bc4b-a4ecde660f1b,24,0.1525071542413387,0.008302292947111458,1
qwen14B-int4_airline_50runs,1cc77d2a-b7b7-4903-bc4b-a4ecde660f1b,26,0.23253780657718534,0.05325965989719738,1
qwen14B-int4_airline_50runs,09fef2b8-c582-4ae8-9ab4-a716a9bc2bae,0,,,0
qwen14B-int4_airline_50runs,09fef2b8-c582-4ae8-9ab4-a716a9bc2bae,2,0.42980884231618366,0.0,0
qwen14B-int4_airline_50runs,09fef2b8-c582-4ae8-9ab4-a716a9bc2bae,4,0.34400919023052245,0.09743042481251252,0
qwen14B-int4_airline_50runs,09fef2b8-c582-4ae8-9ab4-a716a9bc2bae,6,0.3863979611557728,0.18754276808570414,0
qwen14B-int4_airline_50runs,09fef2b8-c582-4ae8-9ab4-a716a9bc2bae,8,0.10049878180625994,0.008599916757163355,0
qwen14B-int4_airline_50runs,f693bf41-37ac-472f-bc55-a51045061b1a,0,,,0
qwen14B-int4_airline_50runs,f693bf41-37ac-472f-bc55-a51045061b1a,2,0.23575615107407125,0.0,0
qwen14B-int4_airline_50runs,f693bf41-37ac-472f-bc55-a51045061b1a,4,0.31288644357090556,0.05532156902810802,0
qwen14B-int4_airline_50runs,f693bf41-37ac-472f-bc55-a51045061b1a,6,0.3129943029363751,1.0,0
qwen14B-int4_airline_50runs,f693bf41-37ac-472f-bc55-a51045061b1a,8,0.375671362442342,0.34842188963814386,0
qwen14B-int4_airline_50runs,f693bf41-37ac-472f-bc55-a51045061b1a,10,0.2532396641565355,1.0,0
qwen14B-int4_airline_50runs,f693bf41-37ac-472f-bc55-a51045061b1a,12,0.29066206679922013,0.36280180513858795,0
qwen14B-int4_airline_50runs,f693bf41-37ac-472f-bc55-a51045061b1a,14,0.228911777482035,0.08554610168492352,0
qwen14B-int4_airline_50runs,f693bf41-37ac-472f-bc55-a51045061b1a,16,0.005592095595043128,0.0,0
qwen14B-int4_airline_50runs,a16d9f51-9fcb-4cdb-bb50-27e2b86fea47,0,,,1
qwen14B-int4_airline_50runs,a16d9f51-9fcb-4cdb-bb50-27e2b86fea47,2,0.22203264761352007,0.0,1
qwen14B-int4_airline_50runs,a16d9f51-9fcb-4cdb-bb50-27e2b86fea47,4,0.33109465021789886,0.07488684521781074,1
qwen14B-int4_airline_50runs,a16d9f51-9fcb-4cdb-bb50-27e2b86fea47,6,0.02027669672997289,0.029251039028167725,1
qwen14B-int4_airline_50runs,a16d9f51-9fcb-4cdb-bb50-27e2b86fea47,8,0.32039271662474117,0.2019625554482142,1
qwen14B-int4_airline_50runs,a16d9f51-9fcb-4cdb-bb50-27e2b86fea47,10,0.0019069004693422571,0.07903687159220377,1
qwen14B-int4_airline_50runs,a16d9f51-9fcb-4cdb-bb50-27e2b86fea47,15,0.12721149575051843,0.08267706216767777,1
qwen14B-int4_airline_50runs,a16d9f51-9fcb-4cdb-bb50-27e2b86fea47,17,0.0021084330811695713,0.13227737719012844,1
qwen14B-int4_airline_50runs,a16d9f51-9fcb-4cdb-bb50-27e2b86fea47,21,0.0703926455710486,0.06358909065073187,1
qwen14B-int4_airline_50runs,a16d9f51-9fcb-4cdb-bb50-27e2b86fea47,23,0.22967400789216366,0.08313279232736362,1
qwen14B-int4_airline_50runs,74c6226f-47f9-4036-927b-86123e7b448d,0,,,1
qwen14B-int4_airline_50runs,74c6226f-47f9-4036-927b-86123e7b448d,2,0.32003191767265504,0.0,1
qwen14B-int4_airline_50runs,74c6226f-47f9-4036-927b-86123e7b448d,4,0.1365957125054656,0.0913593776618378,1
qwen14B-int4_airline_50runs,74c6226f-47f9-4036-927b-86123e7b448d,6,0.3679296362472676,0.13042491268027914,1
qwen14B-int4_airline_50runs,74c6226f-47f9-4036-927b-86123e7b448d,8,0.12738100661533147,0.1425650683609215,1
qwen14B-int4_airline_50runs,74c6226f-47f9-4036-927b-86123e7b448d,10,0.15440028665337815,0.17449779510498045,1
qwen14B-int4_airline_50runs,74c6226f-47f9-4036-927b-86123e7b448d,12,0.11861988858934586,0.13527199340193238,1
qwen14B-int4_airline_50runs,74c6226f-47f9-4036-927b-86123e7b448d,14,0.0885526728090576,0.5447289300343346,1
qwen14B-int4_airline_50runs,74c6226f-47f9-4036-927b-86123e7b448d,16,0.004573426914121216,0.1612846963107586,1
qwen14B-int4_airline_50runs,74c6226f-47f9-4036-927b-86123e7b448d,18,0.2622151739707492,0.14925710243337295,1
qwen14B-int4_airline_50runs,74c6226f-47f9-4036-927b-86123e7b448d,20,0.32299853792939576,1.0,1
qwen14B-int4_airline_50runs,74c6226f-47f9-4036-927b-86123e7b448d,22,0.303472178245652,0.10466943740844727,1
qwen14B-int4_airline_50runs,7ff0a5ca-9aea-4709-956f-27d12be48bef,0,,,1
qwen14B-int4_airline_50runs,7ff0a5ca-9aea-4709-956f-27d12be48bef,2,0.2394830394328879,0.0,1
