cell,precision,traj_id,step_idx,n_steps,actor,n_tokens,n_content_tokens,U_all,U_stopfilter,U_content,mean_prob,label_fail
qwen14B-int4_retail_50runs,int4,4410334e-ace0-4df5-83e4-02fec4bb7d2f,2,22,agent,105,32,1.5807396985586386,1.835097157355393,3.0483234929852188,0.59329844610783,0
qwen14B-int4_retail_50runs,int4,4410334e-ace0-4df5-83e4-02fec4bb7d2f,4,22,agent,74,17,3.193800042593407,3.0441141254293336,6.137503837837892,0.5093161990760491,0
qwen14B-int4_retail_50runs,int4,4410334e-ace0-4df5-83e4-02fec4bb7d2f,6,22,agent,52,19,0.9522369812342586,1.2186980659364566,1.3146674883993048,0.6878442949697752,0
qwen14B-int4_retail_50runs,int4,4410334e-ace0-4df5-83e4-02fec4bb7d2f,8,22,agent,227,67,0.6091601473442023,0.593587567244044,1.1899787673532074,0.7035479064024568,0
qwen14B-int4_retail_50runs,int4,4410334e-ace0-4df5-83e4-02fec4bb7d2f,10,22,agent,62,15,3.4365140163193595,3.276539794936219,6.126324678460757,0.455963607834388,0
qwen14B-int4_retail_50runs,int4,4410334e-ace0-4df5-83e4-02fec4bb7d2f,12,22,agent,160,32,0.3079237032929456,0.2994885440990454,0.8894019804429263,0.819903624812907,0
qwen14B-int4_retail_50runs,int4,4410334e-ace0-4df5-83e4-02fec4bb7d2f,14,22,agent,248,49,0.45870684948030105,0.3687455159386789,1.1230552529498024,0.7876985451096831,0
qwen14B-int4_retail_50runs,int4,4410334e-ace0-4df5-83e4-02fec4bb7d2f,16,22,agent,283,34,0.314551032864324,0.23194984765264823,1.0775644507478266,0.8571883279895126,0
qwen14B-int4_retail_50runs,int4,4410334e-ace0-4df5-83e4-02fec4bb7d2f,18,22,agent,135,18,1.6945024423161894,1.6318385995950913,6.368406182361974,0.7299081511393114,0
qwen14B-int4_retail_50runs,int4,4410334e-ace0-4df5-83e4-02fec4bb7d2f,20,22,agent,175,31,0.4134411355561596,0.4181166032650794,1.2288635113546926,0.815175743242169,0
qwen14B-int4_retail_50runs,int4,6d320d4a-98b5-42a1-b9d5-05305aef3ae9,2,26,agent,37,14,4.180574369042399,5.2113847088181675,5.890688077679703,0.3782511363802075,1
qwen14B-int4_retail_50runs,int4,6d320d4a-98b5-42a1-b9d5-05305aef3ae9,4,26,agent,62,18,0.3965656801116356,0.37391879742620204,0.6940065349141756,0.7596353341680925,1
qwen14B-int4_retail_50runs,int4,6d320d4a-98b5-42a1-b9d5-05305aef3ae9,6,26,agent,67,21,0.965151743096555,1.0331793222932075,1.5847651319844382,0.5994795052446399,1
qwen14B-int4_retail_50runs,int4,6d320d4a-98b5-42a1-b9d5-05305aef3ae9,8,26,agent,130,35,0.9612554010792319,1.151384197885579,2.1605770766735075,0.6393799234311147,1
qwen14B-int4_retail_50runs,int4,6d320d4a-98b5-42a1-b9d5-05305aef3ae9,10,26,agent,83,28,0.9631437523284181,1.299180894147254,2.0983893453542675,0.6567236599113945,1
qwen14B-int4_retail_50runs,int4,6d320d4a-98b5-42a1-b9d5-05305aef3ae9,12,26,agent,61,14,0.31373334721286683,0.35050586541058365,0.9054495819977352,0.8197684850861476,1
qwen14B-int4_retail_50runs,int4,6d320d4a-98b5-42a1-b9d5-05305aef3ae9,14,26,agent,63,23,0.4535894712319975,0.4768796982049866,0.7390336407267529,0.7215015525397617,1
qwen14B-int4_retail_50runs,int4,6d320d4a-98b5-42a1-b9d5-05305aef3ae9,16,26,agent,257,28,0.1589809571710527,0.12737471051702515,0.7333119791001081,0.9035723855991937,1
qwen14B-int4_retail_50runs,int4,6d320d4a-98b5-42a1-b9d5-05305aef3ae9,18,26,agent,51,10,0.40237393130800275,0.451598389565698,1.257206556200981,0.7867144000557559,1
qwen14B-int4_retail_50runs,int4,6d320d4a-98b5-42a1-b9d5-05305aef3ae9,20,26,agent,153,21,0.39181922507687406,0.35576729612741703,0.7987092208294642,0.838744770414618,1
qwen14B-int4_retail_50runs,int4,6d320d4a-98b5-42a1-b9d5-05305aef3ae9,22,26,agent,113,16,0.5906570976711077,0.6511849227496305,3.29310138290748,0.8540634748277243,1
qwen14B-int4_retail_50runs,int4,6d320d4a-98b5-42a1-b9d5-05305aef3ae9,24,26,agent,125,15,0.34843466247511257,0.308299481229903,1.2058575575550396,0.8567443694465892,1
qwen14B-int4_retail_50runs,int4,8ef40c5b-9d9e-45d0-9c12-38c78c1420b5,2,28,agent,78,26,1.9712757335275035,2.554751051906509,4.1026315952722845,0.5227035307189369,1
qwen14B-int4_retail_50runs,int4,8ef40c5b-9d9e-45d0-9c12-38c78c1420b5,4,28,agent,72,19,3.3218286990061237,3.209482250104785,6.556239375942631,0.5133466177911646,1
qwen14B-int4_retail_50runs,int4,8ef40c5b-9d9e-45d0-9c12-38c78c1420b5,6,28,agent,64,22,0.8655112230733213,0.9765739588602987,1.6427862847393209,0.6446156701869377,1
qwen14B-int4_retail_50runs,int4,8ef40c5b-9d9e-45d0-9c12-38c78c1420b5,8,28,agent,77,24,1.1972625550137894,1.5184982327511232,1.520295190314452,0.6095952585741395,1
qwen14B-int4_retail_50runs,int4,8ef40c5b-9d9e-45d0-9c12-38c78c1420b5,10,28,agent,66,25,1.1204940838656374,1.5798404965466126,2.248398050069809,0.6064422374300171,1
qwen14B-int4_retail_50runs,int4,8ef40c5b-9d9e-45d0-9c12-38c78c1420b5,12,28,agent,55,19,1.1351853563091916,1.4106144187887615,1.748544310268603,0.591197441790247,1
qwen14B-int4_retail_50runs,int4,8ef40c5b-9d9e-45d0-9c12-38c78c1420b5,14,28,agent,67,17,0.5569934076021319,0.4314404469518975,0.9128811184097739,0.7206772010889708,1
qwen14B-int4_retail_50runs,int4,8ef40c5b-9d9e-45d0-9c12-38c78c1420b5,16,28,agent,45,16,1.0363619453373114,1.2995640034290115,2.4840990537777543,0.6883218749148077,1
qwen14B-int4_retail_50runs,int4,8ef40c5b-9d9e-45d0-9c12-38c78c1420b5,18,28,agent,50,9,0.19025505827035885,0.13692993046361152,0.3793075465493732,0.8578266507995997,1
qwen14B-int4_retail_50runs,int4,8ef40c5b-9d9e-45d0-9c12-38c78c1420b5,20,28,agent,90,21,0.3565646695174962,0.33776562187276477,0.7514274567365646,0.794949885223254,1
qwen14B-int4_retail_50runs,int4,8ef40c5b-9d9e-45d0-9c12-38c78c1420b5,22,28,agent,65,22,0.44723314772394973,0.46364213274732047,0.8093988130038435,0.7404478600985135,1
qwen14B-int4_retail_50runs,int4,8ef40c5b-9d9e-45d0-9c12-38c78c1420b5,24,28,agent,60,5,0.13647456157619425,0.11100092252728684,0.5111015617847443,0.8995247940312096,1
